date,day,plant_system,ave_ph,ave_do,ave_tds,ave_temp,ave_humidity,plant_no,height,length,weight,leaves,branches
2026-03-11,Wednesday,AERO,6.215208333333333,3.662083333333333,737.0208333333334,23.2325,62.860625,104,42.2,,54.0,499,50
2026-02-14,Saturday,AERO,5.926458333333333,3.5860416666666666,482.5,23.159375,63.02458333333333,106,30.8,,13.0,102,18
2026-02-12,Thursday,AERO,5.882291666666667,3.753958333333333,468.625,23.252291666666665,63.668958333333336,106,30.5,,10.0,86,18
2026-03-09,Monday,DWC,6.208749999999999,3.746875,722.4583333333334,23.081875,63.592083333333335,6,39.8,,31.0,201,32
2026-02-09,Monday,DWC,5.854583333333333,3.646458333333333,432.1875,23.21125,63.513958333333335,1,24.6,,12.0,98,12
2026-02-21,Saturday,AERO,6.005,3.77,559.3333333333334,23.191875,63.635,106,32.1,,18.0,168,26
2026-03-03,Tuesday,AERO,6.099166666666666,3.657291666666667,652.5625,23.05125,63.14375,103,28.6,,21.0,294,39
2026-03-11,Wednesday,DWC,6.215208333333333,3.662083333333333,737.0208333333334,23.2325,62.860625,4,34.4,,22.0,257,37
2026-03-17,Tuesday,AERO,6.665531384466342,5.559729795350181,787.417345009818,21.84491006340853,64.87931343935803,106,36.6,,40.0,598,60
2026-03-11,Wednesday,DWC,6.215208333333333,3.662083333333333,737.0208333333334,23.2325,62.860625,1,34.3,,31.0,357,53
2026-03-09,Monday,AERO,6.208749999999999,3.746875,722.4583333333334,23.081875,63.592083333333335,103,30.0,,27.0,444,43
2026-02-13,Friday,DWC,5.904583333333334,3.724166666666666,472.5833333333333,23.140625,63.15166666666667,4,29.2,,12.0,75,16
2026-03-17,Tuesday,DWC,6.665531384466342,5.559729795350181,787.417345009818,21.84491006340853,64.87931343935803,2,41.1,,25.0,193,47
2026-02-24,Tuesday,DWC,6.03625,3.7708333333333335,584.6875,23.178541666666664,63.379375,4,31.3,,18.0,148,27
2026-03-05,Thursday,DWC,6.1475,3.757708333333333,679.3541666666666,23.203541666666663,63.09020833333333,6,38.8,,25.0,177,26
2026-03-17,Tuesday,AERO,6.665531384466342,5.559729795350181,787.417345009818,21.84491006340853,64.87931343935803,103,31.2,,31.0,486,49
2026-02-19,Thursday,AERO,5.945625,3.761041666666667,536.6458333333334,23.136666666666667,63.009791666666665,102,25.0,,10.0,52,14
2026-02-06,Friday,DWC,5.7977083333333335,3.6983333333333337,399.1458333333333,23.085,63.29375,5,37.5,,5.0,29,8
2026-03-14,Saturday,DWC,6.246666666666666,3.6754166666666666,766.8125,23.16145833333333,63.254375,1,34.6,,30.0,390,53
2026-03-03,Tuesday,AERO,6.099166666666666,3.657291666666667,652.5625,23.05125,63.14375,102,28.8,,16.0,222,26
2026-03-14,Saturday,DWC,6.246666666666666,3.6754166666666666,766.8125,23.16145833333333,63.254375,4,35.3,,25.0,270,37
2026-02-20,Friday,AERO,5.963541666666667,3.6989583333333336,540.2291666666666,23.153125,63.36229166666666,103,25.7,,15.0,159,26
2026-02-19,Thursday,DWC,5.945625,3.761041666666667,536.6458333333334,23.136666666666667,63.009791666666665,2,34.1,,12.0,63,14
2026-02-23,Monday,DWC,6.030625000000001,3.689375,578.125,23.334375,63.12270833333333,5,42.0,,19.0,110,16
2026-02-12,Thursday,AERO,5.882291666666667,3.753958333333333,468.625,23.252291666666665,63.668958333333336,104,35.1,,11.0,82,10
2026-03-09,Monday,AERO,6.208749999999999,3.746875,722.4583333333334,23.081875,63.592083333333335,105,39.5,,40.0,451,52
2026-03-06,Friday,DWC,6.135208333333334,3.6941666666666655,686.5208333333334,23.202291666666667,63.43645833333333,3,36.6,,16.0,135,23
2026-02-21,Saturday,AERO,6.005,3.77,559.3333333333334,23.191875,63.635,101,23.2,,15.0,158,15
2026-02-06,Friday,DWC,5.7977083333333335,3.6983333333333337,399.1458333333333,23.085,63.29375,6,33.2,,5.0,32,6
2026-02-07,Saturday,AERO,5.804791666666667,3.647083333333333,408.7291666666667,23.255625,62.98916666666667,102,22.4,,8.0,33,6
2026-03-13,Friday,DWC,6.224791666666667,3.689166666666667,763.2708333333334,23.370625,62.821041666666666,3,38.1,,15.0,123,16
2026-03-05,Thursday,AERO,6.1475,3.757708333333333,679.3541666666666,23.203541666666663,63.09020833333333,102,28.9,,17.0,253,28
2026-03-02,Monday,DWC,6.104791666666666,3.6670833333333337,642.1666666666666,23.29479166666667,62.83145833333333,2,37.7,,17.0,134,21
2026-03-11,Wednesday,AERO,6.215208333333333,3.662083333333333,737.0208333333334,23.2325,62.860625,105,40.2,,41.0,528,52
2026-02-13,Friday,AERO,5.904583333333334,3.724166666666666,472.5833333333333,23.140625,63.15166666666667,102,23.7,,9.0,44,6
2026-03-17,Tuesday,AERO,6.665531384466342,5.559729795350181,787.417345009818,21.84491006340853,64.87931343935803,104,43.0,,57.0,593,65
2026-02-21,Saturday,DWC,6.005,3.77,559.3333333333334,23.191875,63.635,1,28.3,,22.0,169,31
2026-02-10,Tuesday,AERO,5.869375000000001,3.6966666666666663,445.8125,23.1675,63.1125,101,21.4,,7.0,84,6
2026-03-13,Friday,DWC,6.224791666666667,3.689166666666667,763.2708333333334,23.370625,62.821041666666666,1,34.5,,32.0,385,52
2026-02-19,Thursday,AERO,5.945625,3.761041666666667,536.6458333333334,23.136666666666667,63.009791666666665,105,35.4,,16.0,136,27
2026-02-24,Tuesday,AERO,6.03625,3.7708333333333335,584.6875,23.178541666666664,63.379375,104,38.0,,22.0,155,17
2026-02-28,Saturday,DWC,6.071666666666666,3.6695833333333336,623.4583333333334,23.215208333333333,63.848125,4,32.1,,18.0,135,28
